epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,267.052,1.37332,1.19129,1.13551,0.945,1,0.995,0.8955,0.39228,0.84123,0.78475,0.0011288,0.0011288,0.0011288
46,273.794,1.3877,1.16463,1.11484,0.93585,1,0.995,0.8955,0.46796,1.07393,0.77534,0.001109,0.001109,0.001109
47,280.13,1.34752,1.16904,1.13117,0.94411,1,0.995,0.8955,0.52527,0.6929,0.80843,0.0010892,0.0010892,0.0010892
48,287.676,1.37623,1.18865,1.13317,0.95051,1,0.995,0.995,0.49996,0.77841,0.82554,0.0010694,0.0010694,0.0010694
49,294.443,1.33168,1.16242,1.13467,0.95379,1,0.995,0.995,0.45327,0.68388,0.7993,0.0010496,0.0010496,0.0010496
50,298.305,1.35924,1.16691,1.11483,0.93067,1,0.995,0.995,0.38102,1.38139,0.77351,0.0010298,0.0010298,0.0010298
51,305.336,1.32452,1.14594,1.10758,0.9622,1,0.995,0.8955,0.55141,0.55756,0.81223,0.00101,0.00101,0.00101
52,312.457,1.30652,1.10455,1.10649,0.9667,1,0.995,0.8955,0.46232,0.53604,0.77555,0.0009902,0.0009902,0.0009902
53,319.648,1.33714,1.12523,1.12089,0.95519,1,0.995,0.995,0.32757,0.70001,0.75426,0.0009704,0.0009704,0.0009704
54,324.756,1.31696,1.10426,1.10068,0.95694,1,0.995,0.995,0.38971,0.65577,0.78207,0.0009506,0.0009506,0.0009506
55,330.688,1.31257,1.12676,1.10114,0.93843,1,0.995,0.995,0.3643,0.75685,0.77705,0.0009308,0.0009308,0.0009308
56,336.741,1.29018,1.06599,1.08396,0.93539,1,0.995,0.8955,0.45912,0.64583,0.76729,0.000911,0.000911,0.000911
57,343.064,1.28551,1.07778,1.08766,0.92412,1,0.995,0.8955,0.72241,0.92661,0.8242,0.0008912,0.0008912,0.0008912
58,349.098,1.28635,1.06092,1.08164,0.94213,1,0.995,0.995,0.41043,0.87424,0.78771,0.0008714,0.0008714,0.0008714
59,352.366,1.28001,1.08657,1.08039,0.95581,1,0.995,0.8955,0.5126,0.73033,0.78678,0.0008516,0.0008516,0.0008516
60,358.995,1.28626,1.07398,1.07898,0.95463,1,0.995,0.8955,0.46474,0.62787,0.76332,0.0008318,0.0008318,0.0008318
61,365.776,1.25448,1.03227,1.07415,0.96578,1,0.995,0.995,0.3729,0.62818,0.75994,0.000812,0.000812,0.000812
62,375.083,1.28025,1.04093,1.07634,0.93899,1,0.995,0.995,0.38446,0.6486,0.76378,0.0007922,0.0007922,0.0007922
63,381.061,1.26252,1.07143,1.08462,0.95224,1,0.995,0.8955,0.53658,0.61619,0.77166,0.0007724,0.0007724,0.0007724
64,383.96,1.24398,1.02367,1.07413,0.9622,1,0.995,0.8955,0.50324,0.46663,0.76983,0.0007526,0.0007526,0.0007526
65,389.801,1.25275,1.04214,1.07165,0.9394,1,0.995,0.8955,0.45416,0.75509,0.7565,0.0007328,0.0007328,0.0007328
66,396.586,1.23408,1.03262,1.06237,0.95224,1,0.995,0.995,0.34154,0.4914,0.75073,0.000713,0.000713,0.000713
67,403.104,1.21281,1.00255,1.05355,0.9666,1,0.995,0.8955,0.44082,0.4538,0.76308,0.0006932,0.0006932,0.0006932
68,409.371,1.22979,0.99939,1.06653,0.96089,1,0.995,0.995,0.3125,0.58351,0.73815,0.0006734,0.0006734,0.0006734
69,412.498,1.21562,0.97958,1.05405,0.94918,1,0.995,0.8955,0.47495,0.65462,0.771,0.0006536,0.0006536,0.0006536
70,418.404,1.21488,1.01041,1.06314,0.95415,1,0.995,0.8955,0.4046,0.5742,0.74989,0.0006338,0.0006338,0.0006338
71,424.553,1.20158,0.97865,1.05161,0.89921,1,0.995,0.8955,0.42381,0.55809,0.75248,0.000614,0.000614,0.000614
72,430.771,1.19775,0.9841,1.04921,0.95484,1,0.995,0.8955,0.4236,0.6512,0.75889,0.0005942,0.0005942,0.0005942
73,437.107,1.19503,0.95662,1.04593,0.9503,1,0.995,0.8955,0.35788,0.50004,0.74311,0.0005744,0.0005744,0.0005744
74,443.477,1.17436,0.93311,1.0373,0.95238,1,0.995,0.995,0.31574,0.41159,0.73448,0.0005546,0.0005546,0.0005546
