epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,99.8931,0.61217,0.46749,0.96265,0.99329,1,0.995,0.84995,0.56156,0.35307,0.94508,0.000973861,0.000973861,0.000973861
44,102.328,0.63153,0.48059,0.97953,0.96228,1,0.995,0.83052,0.64221,0.35978,0.99473,0.000957358,0.000957358,0.000957358
45,104.531,0.66615,0.5189,0.98526,0.94349,0.97536,0.995,0.83696,0.60692,0.38972,0.97331,0.000940855,0.000940855,0.000940855
46,106.515,0.62893,0.47978,0.98474,0.99626,1,0.995,0.8399,0.63848,0.31195,0.98544,0.000924352,0.000924352,0.000924352
47,108.638,0.63992,0.46083,0.97914,0.99692,1,0.995,0.84466,0.58679,0.32896,0.95921,0.000907848,0.000907848,0.000907848
48,111.191,0.63992,0.46992,0.97772,0.94983,0.86738,0.92358,0.76598,0.72206,0.5607,1.01435,0.000891345,0.000891345,0.000891345
49,113.526,0.62544,0.44779,0.96646,0.94838,0.9934,0.99045,0.8473,0.60724,0.4498,0.96824,0.000874842,0.000874842,0.000874842
50,116.158,0.63938,0.44187,0.97138,0.99743,0.99328,0.995,0.86724,0.57857,0.36646,0.95019,0.000858338,0.000858338,0.000858338
51,118.154,0.61382,0.44951,0.96976,0.95233,1,0.99045,0.85913,0.62244,0.3851,0.96131,0.000841835,0.000841835,0.000841835
52,120.326,0.58986,0.45314,0.9466,0.99487,1,0.995,0.87316,0.58722,0.35755,0.94776,0.000825332,0.000825332,0.000825332
53,122.432,0.62055,0.44521,0.97849,0.99478,1,0.995,0.84328,0.64615,0.32511,0.98678,0.000808828,0.000808828,0.000808828
54,124.484,0.59729,0.4322,0.96306,0.98688,0.99455,0.995,0.86725,0.55221,0.32758,0.92868,0.000792325,0.000792325,0.000792325
55,126.487,0.57791,0.42111,0.93347,0.99198,1,0.995,0.86048,0.59995,0.3087,0.94752,0.000775822,0.000775822,0.000775822
56,128.486,0.60703,0.44398,0.94379,0.9921,1,0.995,0.85411,0.56479,0.30519,0.94149,0.000759318,0.000759318,0.000759318
57,130.571,0.59152,0.43291,0.9567,0.99334,1,0.995,0.85264,0.56349,0.29526,0.94597,0.000742815,0.000742815,0.000742815
58,132.817,0.56468,0.42303,0.96137,0.9445,1,0.99045,0.86764,0.54993,0.29154,0.93698,0.000726312,0.000726312,0.000726312
59,135.425,0.55941,0.41786,0.94608,0.99738,1,0.995,0.85239,0.58427,0.31127,0.95912,0.000709809,0.000709809,0.000709809
60,137.521,0.58183,0.43722,0.97292,0.99555,1,0.995,0.86333,0.54817,0.28421,0.93626,0.000693305,0.000693305,0.000693305
61,139.558,0.55189,0.39973,0.93553,0.99612,1,0.995,0.8624,0.57445,0.27537,0.94727,0.000676802,0.000676802,0.000676802
62,141.927,0.55267,0.39704,0.94903,0.99505,1,0.995,0.8763,0.53512,0.27772,0.92592,0.000660299,0.000660299,0.000660299
63,144.085,0.58304,0.41325,0.96627,0.99316,0.99656,0.995,0.88212,0.52682,0.28537,0.91804,0.000643795,0.000643795,0.000643795
64,146.341,0.54192,0.39576,0.94759,0.98225,0.95,0.99045,0.83229,0.6516,0.3199,0.98853,0.000627292,0.000627292,0.000627292
65,148.529,0.56026,0.40321,0.95258,0.97405,0.98506,0.995,0.86624,0.56472,0.29748,0.94136,0.000610789,0.000610789,0.000610789
66,150.749,0.55606,0.3909,0.93349,0.99537,1,0.995,0.88314,0.56082,0.28401,0.94304,0.000594286,0.000594286,0.000594286
67,153.008,0.55895,0.38392,0.96179,0.99545,1,0.995,0.87728,0.54068,0.27668,0.92934,0.000577782,0.000577782,0.000577782
68,155.25,0.53749,0.38305,0.93934,0.99608,1,0.995,0.87005,0.59249,0.28457,0.96592,0.000561279,0.000561279,0.000561279
69,157.65,0.55958,0.40724,0.97186,0.99629,1,0.995,0.87281,0.55702,0.27329,0.94564,0.000544776,0.000544776,0.000544776
70,160.502,0.55113,0.38997,0.94172,0.99644,1,0.995,0.88333,0.53607,0.26176,0.92793,0.000528272,0.000528272,0.000528272
71,162.98,0.54257,0.39241,0.94679,0.9965,1,0.995,0.88184,0.52613,0.25717,0.92237,0.000511769,0.000511769,0.000511769
72,165.649,0.55283,0.36454,0.9633,0.99278,1,0.995,0.88626,0.49893,0.26102,0.9065,0.000495266,0.000495266,0.000495266
73,168.167,0.54345,0.37452,0.9482,0.99372,1,0.995,0.87469,0.53005,0.27363,0.91752,0.000478762,0.000478762,0.000478762
74,170.277,0.53839,0.37511,0.94307,0.99566,1,0.995,0.87588,0.53897,0.26125,0.92483,0.000462259,0.000462259,0.000462259
75,172.343,0.54655,0.37275,0.92361,0.99287,0.99656,0.995,0.86912,0.55826,0.27905,0.93834,0.000445756,0.000445756,0.000445756
76,174.643,0.53202,0.38697,0.93783,0.99075,0.99521,0.995,0.89562,0.51547,0.27853,0.91817,0.000429253,0.000429253,0.000429253
77,176.858,0.57311,0.38438,0.94788,0.99288,1,0.995,0.8823,0.55877,0.27613,0.93802,0.000412749,0.000412749,0.000412749
78,179.134,0.51386,0.36425,0.94343,0.99531,1,0.995,0.88094,0.50533,0.24523,0.90778,0.000396246,0.000396246,0.000396246
79,181.47,0.51822,0.35194,0.92507,0.99519,1,0.995,0.88282,0.50593,0.2429,0.9048,0.000379743,0.000379743,0.000379743
80,184.083,0.53745,0.38343,0.9423,0.99494,1,0.995,0.88585,0.50717,0.25952,0.90948,0.000363239,0.000363239,0.000363239
81,186.525,0.56813,0.36943,0.94992,0.99583,1,0.995,0.89328,0.48155,0.24754,0.898,0.000346736,0.000346736,0.000346736
82,189.006,0.53834,0.36494,0.97028,0.99584,1,0.995,0.90279,0.48709,0.2495,0.90275,0.000330233,0.000330233,0.000330233
83,191.841,0.52449,0.36594,0.94046,0.99658,1,0.995,0.87873,0.57198,0.2686,0.93799,0.000313729,0.000313729,0.000313729
84,194.169,0.54908,0.376,0.95729,0.9966,1,0.995,0.87776,0.54449,0.25684,0.92817,0.000297226,0.000297226,0.000297226
85,196.975,0.51026,0.34193,0.93906,0.99646,1,0.995,0.88649,0.51731,0.24421,0.91894,0.000280723,0.000280723,0.000280723
86,199.165,0.55981,0.37331,0.94653,0.99653,1,0.995,0.86236,0.51949,0.24983,0.91307,0.00026422,0.00026422,0.00026422
87,201.51,0.52518,0.33848,0.92466,0.99654,1,0.995,0.8738,0.52816,0.24917,0.91502,0.000247716,0.000247716,0.000247716
88,204.204,0.5073,0.33958,0.9288,0.99641,1,0.995,0.88132,0.50962,0.25149,0.9089,0.000231213,0.000231213,0.000231213
89,206.26,0.49866,0.33598,0.92427,0.99644,1,0.995,0.88612,0.50605,0.25206,0.90771,0.00021471,0.00021471,0.00021471
90,208.316,0.50812,0.34597,0.95059,0.99639,1,0.995,0.89477,0.50845,0.23405,0.90635,0.000198206,0.000198206,0.000198206
91,225.244,0.39424,0.26351,0.8614,0.99629,1,0.995,0.88712,0.50608,0.24157,0.90595,0.000181703,0.000181703,0.000181703
92,227.988,0.39008,0.26924,0.87105,0.9964,1,0.995,0.88978,0.49313,0.24359,0.8994,0.0001652,0.0001652,0.0001652
93,230.371,0.38096,0.25991,0.82996,0.99629,1,0.995,0.89186,0.4972,0.23563,0.90522,0.000148696,0.000148696,0.000148696
94,232.54,0.39883,0.26344,0.85969,0.99589,1,0.995,0.86965,0.49492,0.23788,0.90473,0.000132193,0.000132193,0.000132193
95,234.797,0.40176,0.25502,0.84965,0.99595,1,0.995,0.87697,0.49756,0.24026,0.90603,0.00011569,0.00011569,0.00011569
96,236.808,0.38429,0.24666,0.8369,0.99622,1,0.995,0.8826,0.50794,0.23472,0.91073,9.91865e-05,9.91865e-05,9.91865e-05
97,238.976,0.37975,0.24333,0.83945,0.9964,1,0.995,0.89719,0.48864,0.22803,0.90137,8.26832e-05,8.26832e-05,8.26832e-05
98,240.999,0.38063,0.23658,0.85204,0.99658,1,0.995,0.90896,0.46987,0.21897,0.89186,6.61799e-05,6.61799e-05,6.61799e-05
99,243.097,0.368,0.23698,0.84099,0.9967,1,0.995,0.90168,0.46586,0.21537,0.89163,4.96766e-05,4.96766e-05,4.96766e-05
100,245.249,0.36562,0.23559,0.82813,0.9967,1,0.995,0.89892,0.47216,0.21278,0.89566,3.31733e-05,3.31733e-05,3.31733e-05
